Order,Artist(s),Album,Type,Release Date,Cover Art,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
138,redveil,learn 2 swim,album,2022-04-20,https://i.scdn.co/image/ab67616d0000b2732bdeda3cae04cb2e26b8ef63,65,0.23021,0.4565,0.81133,8e-05,0.26151,-6.46817,0.29717,106.03383,0.5105
139,Tee Grizzley,Half Tee Half Beast,album,2022-04-15,https://i.scdn.co/image/ab67616d0000b2732386654d45455e924670844a,53,0.09066,0.75994,0.67347,0.02054,0.19475,-6.25712,0.18436,126.47894,0.47506
140,Harry Styles,Harry's House,album,2022-05-20,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,94,0.46823,0.62738,0.56138,0.02079,0.13572,-7.09508,0.05425,133.88738,0.59523
141,Noname,Telefone,album,2016-08-12,https://i.scdn.co/image/ab67616d0000b273e9ef4d0bab9c9bf9ef5d3f36,0,0.644,0.6205,0.5088,0.00222,0.11918,-9.694,0.3548,108.3774,0.629
142,Rachel Chinouriri,Four° In Winter,album,2021-04-23,https://i.scdn.co/image/ab67616d0000b273dde32b3110e4a353dfe5aaf1,36,0.70975,0.59737,0.3615,0.00831,0.16814,-10.97963,0.07759,114.02475,0.3254
143,Ravyn Lenae,HYPNOS,album,2022-05-20,https://i.scdn.co/image/ab67616d0000b273a2a1ffef42c5c2ba1eb8c9a5,60,0.51765,0.48931,0.52619,0.0922,0.20359,-8.435,0.07044,114.65994,0.43769
144,Mindchatter,DREAM SOUP,album,2022-04-08,https://i.scdn.co/image/ab67616d0000b27391d9e4a296dee3a8179ea7ea,54,0.36514,0.76754,0.40315,0.4169,0.10618,-13.75646,0.09941,117.74862,0.38592
145,Icewear Vezzo,Rich Off Pints 2,album,2021-09-29,https://i.scdn.co/image/ab67616d0000b27335154d180bb5b5174c3a30e8,58,0.04967,0.73564,0.57679,1e-05,0.13941,-8.22793,0.31529,123.88036,0.4165
146,Mort Garson,Mother Earth's Plantasia,album,2019-03-22,https://i.scdn.co/image/ab67616d0000b27319112975fac887f75c0b095b,56,0.37,0.3447,0.24121,0.63494,0.15677,-15.9626,0.03663,108.4087,0.26398
147,Solange,When I Get Home,album,2019-03-01,https://i.scdn.co/image/ab67616d0000b273b1150f77ae2fbf0d5b4715fc,67,0.57178,0.57727,0.42067,0.18309,0.18494,-9.0742,0.11629,106.149,0.3387
148,Terror Jr,Bop 3: The Girl Who Cried Purple,album,2017-09-29,https://i.scdn.co/image/ab67616d0000b273b70e67c24557c79f4c9649ce,29,0.3559,0.75629,0.45114,0.00035,0.16259,-7.05643,0.09267,108.84886,0.38686
149,Phoebe Bridgers,If We Make It Through December,single,2020-11-24,https://i.scdn.co/image/ab67616d0000b2737be9cb22a70ddaf9ef4b37e4,38,0.85325,0.3705,0.269,0.01039,0.11,-13.3545,0.03805,127.42375,0.313
150,ATEEZ,ZERO : FEVER Part.1,album,2020-07-29,https://i.scdn.co/image/ab67616d0000b2734afd9a5e31c4d8ccd90e340c,64,0.20264,0.64486,0.82457,0.0,0.22343,-4.379,0.23646,129.73286,0.63729
151,Anderson .Paak,Oxnard,album,2018-11-16,https://i.scdn.co/image/ab67616d0000b273524aa1b58c9b19480d8ee703,62,0.05492,0.69057,0.70986,3e-05,0.21238,-7.51257,0.21216,94.35729,0.545
152,Britney Spears,Oops!... I Did It Again,album,2000-05-16,https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6,75,0.22032,0.733,0.71717,8e-05,0.35207,-5.99933,0.04437,107.71383,0.70142
153,Janelle Monáe,Dirty Computer,album,2018-04-27,https://i.scdn.co/image/ab67616d0000b2730a60fb0deda858270cca82ee,63,0.22542,0.63862,0.49108,0.00436,0.27303,-8.824,0.08286,109.08677,0.2975
154,Gorillaz,Plastic Beach,album,2010-03-03,https://i.scdn.co/image/ab67616d0000b273661d019f34569f79eae9e985,80,0.18928,0.57012,0.68425,0.15163,0.26578,-6.43456,0.07154,117.46544,0.52646
155,KAYTRANADA,99.9%,album,2016-05-06,https://i.scdn.co/image/ab67616d0000b2733016bbbbdf0825d3e4dc9aee,70,0.08491,0.7406,0.57267,0.2191,0.22411,-8.98453,0.22313,113.1412,0.37513
156,UMI,Forest in the City,album,2022-05-26,https://i.scdn.co/image/ab67616d0000b2733b289c8a149cc52b49d5dc78,63,0.512,0.5806,0.42433,0.05123,0.26155,-11.52787,0.10999,110.317,0.37145
157,Post Malone,Twelve Carat Toothache,album,2022-06-03,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,85,0.27901,0.55193,0.5425,0.00233,0.18897,-7.73421,0.05662,112.7705,0.31991
158,Dogleg,Melee,album,2020-03-13,https://i.scdn.co/image/ab67616d0000b273aaff5fcbf959ad29b6e576d9,39,0.00036,0.3657,0.9883,0.05484,0.2961,-4.4069,0.14854,123.1573,0.12627
159,Tanna Leone,Sleepy Soldier,album,2022-04-28,https://i.scdn.co/image/ab67616d0000b273912e10a13aabe6db89812bf7,0,0.23521,0.66943,0.48773,0.00709,0.17624,-8.78214,0.10846,128.49214,0.34059
160,Remi Wolf,Juno,album,2021-10-15,https://i.scdn.co/image/ab67616d0000b27316a6cb93e32bf2ae66b1f5b2,64,0.07807,0.69885,0.721,0.00836,0.08983,-5.54008,0.10853,123.40138,0.66546
161,J Dilla,Donuts,album,2006-02-07,https://i.scdn.co/image/ab67616d0000b27383bb78285449998bb974da45,67,0.22471,0.47983,0.68567,0.31052,0.3952,-7.73933,0.2952,129.97187,0.5317
162,"Payroll Giovanni,Peezy",Ghetto Rich Niggaz,album,2020-06-25,https://i.scdn.co/image/ab67616d0000b273dba51315ce5fbb396ad4b624,43,0.14241,0.7407,0.773,0.00358,0.2221,-5.7204,0.24352,103.8901,0.4749
163,Deante' Hitchcock,BETTER,album,2020-05-13,https://i.scdn.co/image/ab67616d0000b2734dd7b0b7e1eed6228bb611d8,47,0.4851,0.6555,0.7193,7e-05,0.22702,-4.8314,0.3645,110.0564,0.5824
164,COIN,Uncanny Valley,album,2022-03-25,https://i.scdn.co/image/ab67616d0000b273eeb50d89d4791cd5cddd8fb9,62,0.17828,0.63457,0.60664,0.02531,0.24539,-7.30371,0.04854,122.05393,0.55721
165,The Game,The R.E.D. Album,album,2011-01-01,https://i.scdn.co/image/ab67616d0000b2739694b30f3bf3eb96a95e18da,60,0.19589,0.52106,0.79639,0.0,0.30971,-4.67728,0.24294,121.58944,0.35248
166,SPELLLING,The Turning Wheel,album,2021-06-25,https://i.scdn.co/image/ab67616d0000b273d990653ea71f3ef4bf46d27b,45,0.47887,0.45267,0.38658,0.11967,0.17806,-11.75833,0.03508,114.33842,0.21237
167,BabyTron,Bin Reaper,album,2019-10-31,https://i.scdn.co/image/ab67616d0000b2732b347174b842252fcb314fe7,59,0.17855,0.72123,0.73438,0.0,0.16658,-7.59523,0.33623,111.94446,0.50992
168,22Gz,The Blixky Tape 2 (Deluxe),album,2022-02-22,https://i.scdn.co/image/ab67616d0000b273c02392cfb3a29a86a965b7d5,58,0.12603,0.81139,0.72213,3e-05,0.12682,-4.19239,0.3139,142.95143,0.43313
169,Drake,"Honestly, Nevermind",album,2022-06-17,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,85,0.37261,0.64364,0.50391,0.09296,0.10822,-11.29436,0.09531,123.3345,0.36029
170,Marian Hill,Sway,album,2015-02-17,https://i.scdn.co/image/ab67616d0000b2731784842155640874660c878b,53,0.35449,0.76229,0.39414,0.17542,0.10687,-10.16771,0.3092,124.05514,0.47929
171,Zack Fox,shut the fuck up talking to me,album,2021-10-15,https://i.scdn.co/image/ab67616d0000b273e407f7fa2f4562f27c414b78,55,0.16656,0.75344,0.66978,8e-05,0.22822,-7.32033,0.22044,117.31711,0.63578
172,Prince,Prince,album,1979-10-19,https://i.scdn.co/image/ab67616d0000b273d539ebc9ac4dc40946532580,53,0.18642,0.731,0.39333,0.08462,0.13282,-13.78,0.04578,100.65611,0.5169
173,2 Chainz,Pretty Girls Like Trap Music,album,2017-06-16,https://i.scdn.co/image/ab67616d0000b273c0c05243a846dda6c84607f9,68,0.16379,0.76419,0.66325,0.00405,0.23685,-4.7555,0.24813,123.55219,0.31975
174,"Tyler, The Creator",Flower Boy,album,2017-07-21,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,88,0.36254,0.56543,0.56429,0.06193,0.28386,-9.0015,0.23239,99.24543,0.38
175,Ambré,3000°,album,2022-06-17,https://i.scdn.co/image/ab67616d0000b27353ccc4159b68ce20e5532128,61,0.48946,0.60162,0.49825,0.01302,0.29037,-10.40925,0.20517,115.444,0.442
176,Duke Deuce,CRUNKSTAR,album,2022-06-17,https://i.scdn.co/image/ab67616d0000b273622d787ea7ba512e18cb802f,45,0.02346,0.73306,0.62075,0.00012,0.22317,-7.56506,0.12487,133.35619,0.31584
177,Turnstile,GLOW ON,album,2021-08-27,https://i.scdn.co/image/ab67616d0000b273a4499cf37a6fe4ff043dc9f2,68,0.06544,0.4906,0.8142,0.22139,0.23909,-6.77147,0.05879,124.5704,0.46615
178,Soccer Mommy,"Sometimes, Forever",album,2022-06-24,https://i.scdn.co/image/ab67616d0000b273af4f070d3683d9b5027059ab,51,0.2123,0.48336,0.62855,0.3231,0.27608,-6.946,0.03511,106.20591,0.45273
179,Kash Doll,Brat Mail (Mixtape),album,2018-03-14,https://i.scdn.co/image/ab67616d0000b273206b2047066aab0ce0119f2b,28,0.1376,0.73278,0.46689,0.04644,0.1576,-12.81744,0.30931,108.49067,0.44311
180,Lucy Dacus,2019,single,2019-11-08,https://i.scdn.co/image/ab67616d0000b27374e339744042dd1bd05fdc1a,31,0.37883,0.53529,0.5,0.13024,0.20057,-12.68586,0.07979,127.36029,0.35357
181,Dojo Security,A Little Security,single,2021-03-02,https://i.scdn.co/image/ab67616d0000b2737c122320f8f7b4747f05fa10,1,9e-05,0.44225,0.8735,0.41874,0.30033,-8.05575,0.04445,148.987,0.4435
182,"Beast Coast,Joey Bada$$,Flatbush Zombies",Escape From New York,album,2019-05-24,https://i.scdn.co/image/ab67616d0000b2738f14916deb5ec438bd130144,56,0.07072,0.70215,0.69938,1e-05,0.19608,-6.94877,0.2263,116.54854,0.44246
183,WESTSIDE BOOGIE,MORE BLACK SUPERHEROES,album,2022-06-17,https://i.scdn.co/image/ab67616d0000b273c44272e5ff22c0b5256a1f83,60,0.23538,0.64625,0.56442,0.00026,0.19699,-7.7805,0.30145,109.57342,0.41183
184,Chance the Rapper,Wala Cam,single,2018-07-17,https://i.scdn.co/image/ab67616d0000b273fe96d9b8876b16e775da2199,34,0.034,0.846,0.809,0.0,0.151,-3.619,0.287,85.011,0.267
185,Rezz,Spiral,album,2022-01-07,https://i.scdn.co/image/ab67616d0000b273e7879474496711f094ae2d34,58,0.05799,0.62,0.72808,0.47584,0.17129,-6.39783,0.0521,134.15183,0.22538
